Name,Artist,year
My House,Flo Rida,2015.0
Roses,The Chainsmokers,2015.0
Hands To Myself,Selena Gomez,2016.0
Same Old Love,Selena Gomez,2015.0
Work,Rihanna,2016.0
Here,Alessia Cara,2015.0
Stitches,Shawn Mendes,2015.0
"Me, Myself & I",G,2015.0
In The Night,The Weeknd,2015.0
Hotline Bling,Drake,2015.0
Like I'm Gonna Lose You,Meghan Trainor,2015.0
Don't,Bryson Tiller,2014.0
What Do You Mean?,Justin Bieber,2015.0
Cake By The Ocean,DNCE,2015.0
White Iverson,Post Malone,2015.0
Jumpman,"Drake, Future",2015.0
The Hills,The Weeknd,2015.0
One Call Away,Charlie Puth,2015.0
Antidote,Travis Scott,2015.0
Hide Away,Daya,2015.0
I Know What You Did Last Summer,"Shawn Mendes, Camila Cabello",2015.0
Die A Happy Man,Thomas Rhett,2015.0
Say It,Tory Lanez,2015.0
679,Fetty Wap,2015.0
When We Were Young,Adele,2015.0
Break Up In A Small Town,Sam Hunt,2014.0
Ex's & Oh's,Elle King,2014.0
On My Mind,Ellie Goulding,2015.0
Down In The DM,Yo Gotti,2016.0
Wildest Dreams,Taylor Swift,2014.0
Can't Feel My Face,The Weeknd,2015.0
Stand By You,Rachel Platten,2015.0
Home Alone Tonight,Luke Bryan,2015.0
Watch Me,Silento,2015.0
Exchange,Bryson Tiller,2015.0
See You Again,Wiz Khalifa,2015.0
No Role Modelz,J. Cole,2014.0
Perfect,One Direction,2015.0
Out Of The Woods,Taylor Swift,2014.0
Adventure Of A Lifetime,Coldplay,2015.0
Again,Fetty Wap,2015.0
Confident,Demi Lovato,2015.0
Back To Sleep,Chris Brown,2016.0
Best Friend,Young Thug,2015.0
Stay A Little Longer,Brothers Osborne,2015.0
Irresistible,Fall Out Boy,2015.0
Get Ugly,Jason Derulo,2015.0
Oui,Jeremih,2015.0
Sugar,Robin Schulz,2015.0
Backroad Song,Granger Smith,2015.0
7 Years,Lukas Graham,2015.0
Heartbeat,Carrie Underwood,2015.0
I Took A Pill In Ibiza,Mike Posner,2015.0
You Should Be Here,Cole Swindell,2015.0
Break On Me.,Keith Urban,2015.0
Drunk On Your Love,Brett Eldredge,2015.0
Beautiful Drug,Zac Brown Band,2015.0
Watch Out,2 Chainz,2015.0
Walking On A Dream,Empire Of The Sun,2008.0
Dibs,Kelsea Ballerini,2015.0
2 Phones,Kevin Gates,2015.0
Confession,Florida Georgia Line,2014.0
Good To Be Alive,Andy Grammer,2015.0
Big Rings,"Drake, Future",2015.0
We Went,Randy Houser,2015.0
I Got The Boy,Jana Kramer,2015.0
The Fix,Nelly,2015.0
Let It Go,James Bay,2014.0
Nobody To Blame,Chris Stapleton,2015.0
Sorry Not Sorry,Bryson Tiller,2015.0
Do It Like Me,DLOW,2010.0
Bang My Head,David Guetta,2015.0
Something In The Way You Move,Ellie Goulding,2016.0
Really Really,Kevin Gates,2015.0
Back Up,DeJ Loaf,2015.0
WTF,Missy Elliott,2015.0
Mr. Misunderstood,Eric Church,2015.0
Hollow,Tori Kelly,2015.0
I Like The Sound Of That,Rascal Flatts,2014.0
Middle,DJ Snake,2015.0
Focus,Ariana Grande,2015.0
Dessert,Dawin,2015.0
My Church,Maren Morris,2016.0
Play No Games,Big Sean,2015.0
Gonna Know We Were Here,Jason Aldean,2015.0
Country Nation,Brad Paisley,2014.0
Humble And Kind,Tim McGraw,2015.0
Emperor's New Clothes,Panic! At The Disco,2015.0
Bottom Of The Bottle,Curren$Y,2015.0
Somewhere On A Beach,Dierks Bentley,2016.0
Acquainted,The Weeknd,2015.0
Snapback,Old Dominion,2016.0
Sorry,Justin Bieber,2015.0
Love Yourself,Justin Bieber,2015.0
Hello,Adele,2015.0
Stressed Out,twenty one pilots,2015.0
Here,Alessia Cara,2015.0
Stitches,Shawn Mendes,2015.0
Same Old Love,Selena Gomez,2015.0
Roses,The Chainsmokers,2015.0
Hotline Bling,Drake,2015.0
What Do You Mean?,Justin Bieber,2015.0
Like I'm Gonna Lose You,Meghan Trainor,2015.0
My House,Flo Rida,2015.0
In The Night,The Weeknd,2015.0
Jumpman,"Drake, Future",2015.0
Don't,Bryson Tiller,2014.0
"Me, Myself & I",G,2015.0
White Iverson,Post Malone,2015.0
The Hills,The Weeknd,2015.0
Antidote,Travis Scott,2015.0
679,Fetty Wap,2015.0
Hands To Myself,Selena Gomez,2016.0
Cake By The Ocean,DNCE,2015.0
Say It,Tory Lanez,2015.0
I Know What You Did Last Summer,"Shawn Mendes, Camila Cabello",2015.0
Die A Happy Man,Thomas Rhett,2015.0
One Call Away,Charlie Puth,2015.0
On My Mind,Ellie Goulding,2015.0
Watch Me,Silento,2015.0
Ex's & Oh's,Elle King,2014.0
Hide Away,Daya,2015.0
Down In The DM,Yo Gotti,2016.0
Can't Feel My Face,The Weeknd,2015.0
Break Up In A Small Town,Sam Hunt,2014.0
Wildest Dreams,Taylor Swift,2014.0
When We Were Young,Adele,2015.0
See You Again,Wiz Khalifa,2015.0
Perfect,One Direction,2015.0
Exchange,Bryson Tiller,2015.0
Confident,Demi Lovato,2015.0
No Role Modelz,J. Cole,2014.0
Stand By You,Rachel Platten,2015.0
Again,Fetty Wap,2015.0
Home Alone Tonight,Luke Bryan,2015.0
Best Friend,Young Thug,2015.0
Stay A Little Longer,Brothers Osborne,2015.0
Adventure Of A Lifetime,Coldplay,2015.0
Locked Away,R. City,2015.0
Back To Sleep,Chris Brown,2016.0
Out Of The Woods,Taylor Swift,2014.0
Focus,Ariana Grande,2015.0
Irresistible,Fall Out Boy,2015.0
Do It Like Me,DLOW,2010.0
Get Ugly,Jason Derulo,2015.0
Oui,Jeremih,2015.0
Backroad Song,Granger Smith,2015.0
Sugar,Robin Schulz,2015.0
I Got The Boy,Jana Kramer,2015.0
Heartbeat,Carrie Underwood,2015.0
Back Up,DeJ Loaf,2015.0
2 Phones,Kevin Gates,2015.0
Big Rings,"Drake, Future",2015.0
Beautiful Drug,Zac Brown Band,2015.0
Break On Me.,Keith Urban,2015.0
The Fix,Nelly,2015.0
Sorry Not Sorry,Bryson Tiller,2015.0
Dessert,Dawin,2015.0
Drunk On Your Love,Brett Eldredge,2015.0
You Should Be Here,Cole Swindell,2015.0
Dibs,Kelsea Ballerini,2015.0
Emperor's New Clothes,Panic! At The Disco,2015.0
Gonna Know We Were Here,Jason Aldean,2015.0
I'll Show You,Justin Bieber,2015.0
Really Really,Kevin Gates,2015.0
WTF,Missy Elliott,2015.0
Confession,Florida Georgia Line,2014.0
I Took A Pill In Ibiza,Mike Posner,2015.0
Nobody To Blame,Chris Stapleton,2015.0
Hollow,Tori Kelly,2015.0
Walking On A Dream,Empire Of The Sun,2008.0
Good To Be Alive,Andy Grammer,2015.0
Bang My Head,David Guetta,2015.0
Mr. Misunderstood,Eric Church,2015.0
Let It Go,James Bay,2014.0
New Americana,Halsey,2015.0
Watch Out,2 Chainz,2015.0
Victorious,Panic! At The Disco,2015.0
We Went,Randy Houser,2015.0
Play No Games,Big Sean,2015.0
Death Of A Bachelor,Panic! At The Disco,2015.0
Lay It All On Me,Rudimental,2015.0
Right Hand,Drake,2015.0
Middle,DJ Snake,2015.0
7 Years,Lukas Graham,2015.0
Come Get Her,Rae Sremmurd,2015.0
Ginza,J Balvin,2015.0
Acquainted,The Weeknd,2015.0
Sorry,Justin Bieber,2015.0
Hello,Adele,2015.0
Love Yourself,Justin Bieber,2015.0
Stressed Out,twenty one pilots,2015.0
Same Old Love,Selena Gomez,2015.0
Here,Alessia Cara,2015.0
Hotline Bling,Drake,2015.0
Stitches,Shawn Mendes,2015.0
Like I'm Gonna Lose You,Meghan Trainor,2015.0
What Do You Mean?,Justin Bieber,2015.0
Roses,The Chainsmokers,2015.0
Jumpman,"Drake, Future",2015.0
Don't,Bryson Tiller,2014.0
The Hills,The Weeknd,2015.0
In The Night,The Weeknd,2015.0
White Iverson,Post Malone,2015.0
Antidote,Travis Scott,2015.0
679,Fetty Wap,2015.0
"Me, Myself & I",G,2015.0
I Know What You Did Last Summer,"Shawn Mendes, Camila Cabello",2015.0
On My Mind,Ellie Goulding,2015.0
Cake By The Ocean,DNCE,2015.0
My House,Flo Rida,2015.0
Die A Happy Man,Thomas Rhett,2015.0
Ex's & Oh's,Elle King,2014.0
Say It,Tory Lanez,2015.0
Can't Feel My Face,The Weeknd,2015.0
Wildest Dreams,Taylor Swift,2014.0
Watch Me,Silento,2015.0
Confident,Demi Lovato,2015.0
Hide Away,Daya,2015.0
Break Up In A Small Town,Sam Hunt,2014.0
One Call Away,Charlie Puth,2015.0
Perfect,One Direction,2015.0
Down In The DM,Yo Gotti,2016.0
Hands To Myself,Selena Gomez,2016.0
See You Again,Wiz Khalifa,2015.0
Trap Queen,Fetty Wap,2014.0
Lazarus,David Bowie,2015.0
When We Were Young,Adele,2015.0
No Role Modelz,J. Cole,2014.0
Exchange,Bryson Tiller,2015.0
Stand By You,Rachel Platten,2015.0
Again,Fetty Wap,2015.0
Home Alone Tonight,Luke Bryan,2015.0
Locked Away,R. City,2015.0
Adventure Of A Lifetime,Coldplay,2015.0
Back To Sleep,Chris Brown,2016.0
Best Friend,Young Thug,2015.0
Focus,Ariana Grande,2015.0
Stay A Little Longer,Brothers Osborne,2015.0
Out Of The Woods,Taylor Swift,2014.0
I Got The Boy,Jana Kramer,2015.0
Irresistible,Fall Out Boy,2015.0
Do It Like Me,DLOW,2010.0
Back Up,DeJ Loaf,2015.0
Gonna Know We Were Here,Jason Aldean,2015.0
Get Ugly,Jason Derulo,2015.0
Big Rings,"Drake, Future",2015.0
Oui,Jeremih,2015.0
Backroad Song,Granger Smith,2015.0
The Fix,Nelly,2015.0
I'll Show You,Justin Bieber,2015.0
Sugar,Robin Schulz,2015.0
Beautiful Drug,Zac Brown Band,2015.0
Heartbeat,Carrie Underwood,2015.0
2 Phones,Kevin Gates,2015.0
Break On Me.,Keith Urban,2015.0
WTF,Missy Elliott,2015.0
Sorry Not Sorry,Bryson Tiller,2015.0
Dibs,Kelsea Ballerini,2015.0
New Americana,Halsey,2015.0
Blackstar,David Bowie,2015.0
Dessert,Dawin,2015.0
Used To Love You,Gwen Stefani,2015.0
Good To Be Alive,Andy Grammer,2015.0
You Should Be Here,Cole Swindell,2015.0
Really Really,Kevin Gates,2015.0
Confession,Florida Georgia Line,2014.0
Watch Out,2 Chainz,2015.0
Mr. Misunderstood,Eric Church,2015.0
Let It Go,James Bay,2014.0
Lay It All On Me,Rudimental,2015.0
Play No Games,Big Sean,2015.0
Hollow,Tori Kelly,2015.0
Right Hand,Drake,2015.0
Gonna,Blake Shelton,2015.0
We Went,Randy Houser,2015.0
Drunk On Your Love,Brett Eldredge,2015.0
RGF Island,Fetty Wap,2015.0
Come Get Her,Rae Sremmurd,2015.0
Nobody To Blame,Chris Stapleton,2015.0
Bang My Head,David Guetta,2015.0
Blase,Ty Dolla $ign,2015.0
Ginza,J Balvin,2015.0
Sorry,Justin Bieber,2015.0
Hello,Adele,2015.0
Love Yourself,Justin Bieber,2015.0
Hotline Bling,Drake,2015.0
Stressed Out,twenty one pilots,2015.0
Same Old Love,Selena Gomez,2015.0
Stitches,Shawn Mendes,2015.0
What Do You Mean?,Justin Bieber,2015.0
Here,Alessia Cara,2015.0
Like I'm Gonna Lose You,Meghan Trainor,2015.0
The Hills,The Weeknd,2015.0
Jumpman,"Drake, Future",2015.0
Roses,The Chainsmokers,2015.0
White Iverson,Post Malone,2015.0
On My Mind,Ellie Goulding,2015.0
In The Night,The Weeknd,2015.0
Don't,Bryson Tiller,2014.0
679,Fetty Wap,2015.0
Antidote,Travis Scott,2015.0
Ex's & Oh's,Elle King,2014.0
Wildest Dreams,Taylor Swift,2014.0
I Know What You Did Last Summer,"Shawn Mendes, Camila Cabello",2015.0
Die A Happy Man,Thomas Rhett,2015.0
Can't Feel My Face,The Weeknd,2015.0
Confident,Demi Lovato,2015.0
Cake By The Ocean,DNCE,2015.0
Watch Me,Silento,2015.0
Perfect,One Direction,2015.0
"Me, Myself & I",G,2015.0
Say It,Tory Lanez,2015.0
My House,Flo Rida,2015.0
Hide Away,Daya,2015.0
Break Up In A Small Town,Sam Hunt,2014.0
Trap Queen,Fetty Wap,2014.0
See You Again,Wiz Khalifa,2015.0
One Call Away,Charlie Puth,2015.0
Stand By You,Rachel Platten,2015.0
Down In The DM,Yo Gotti,2016.0
No Role Modelz,J. Cole,2014.0
When We Were Young,Adele,2015.0
Hands To Myself,Selena Gomez,2016.0
Again,Fetty Wap,2015.0
Exchange,Bryson Tiller,2015.0
Locked Away,R. City,2015.0
Out Of The Woods,Taylor Swift,2014.0
Where Ya At,Future,2015.0
Irresistible,Fall Out Boy,2015.0
Focus,Ariana Grande,2015.0
Home Alone Tonight,Luke Bryan,2015.0
Adventure Of A Lifetime,Coldplay,2015.0
Back To Sleep,Chris Brown,2016.0
Gonna Know We Were Here,Jason Aldean,2015.0
Stay A Little Longer,Brothers Osborne,2015.0
Back Up,DeJ Loaf,2015.0
I Got The Boy,Jana Kramer,2015.0
Do It Like Me,DLOW,2010.0
Best Friend,Young Thug,2015.0
Used To Love You,Gwen Stefani,2015.0
Good To Be Alive,Andy Grammer,2015.0
Big Rings,"Drake, Future",2015.0
New Americana,Halsey,2015.0
WTF,Missy Elliott,2015.0
Get Ugly,Jason Derulo,2015.0
I'll Show You,Justin Bieber,2015.0
The Fix,Nelly,2015.0
Backroad Song,Granger Smith,2015.0
Downtown,"Macklemore, Ryan Lewis",2015.0
Beautiful Drug,Zac Brown Band,2015.0
Gonna,Blake Shelton,2015.0
Dessert,Dawin,2015.0
Break On Me.,Keith Urban,2015.0
Dibs,Kelsea Ballerini,2015.0
Heartbeat,Carrie Underwood,2015.0
Right Hand,Drake,2015.0
Top Of The World,Tim McGraw,2015.0
Sorry Not Sorry,Bryson Tiller,2015.0
Oui,Jeremih,2015.0
Lay It All On Me,Rudimental,2015.0
Really Really,Kevin Gates,2015.0
Mr. Misunderstood,Eric Church,2015.0
Come Get Her,Rae Sremmurd,2015.0
Watch Out,2 Chainz,2015.0
Sugar,Robin Schulz,2015.0
Hollow,Tori Kelly,2015.0
Play No Games,Big Sean,2015.0
Let It Go,James Bay,2014.0
Confession,Florida Georgia Line,2014.0
We Went,Randy Houser,2015.0
2 Phones,Kevin Gates,2015.0
RGF Island,Fetty Wap,2015.0
Smoke Break,Carrie Underwood,2015.0
Ginza,J Balvin,2015.0
Nobody To Blame,Chris Stapleton,2015.0
You Should Be Here,Cole Swindell,2015.0
Blase,Ty Dolla $ign,2015.0
Tennessee Whiskey,Chris Stapleton,2015.0
Hello,Adele,2015.0
Sorry,Justin Bieber,2015.0
Love Yourself,Justin Bieber,2015.0
Hotline Bling,Drake,2015.0
What Do You Mean?,Justin Bieber,2015.0
Stitches,Shawn Mendes,2015.0
Same Old Love,Selena Gomez,2015.0
Here,Alessia Cara,2015.0
Stressed Out,twenty one pilots,2015.0
Like I'm Gonna Lose You,Meghan Trainor,2015.0
The Hills,The Weeknd,2015.0
679,Fetty Wap,2015.0
Jumpman,"Drake, Future",2015.0
Ex's & Oh's,Elle King,2014.0
White Iverson,Post Malone,2015.0
On My Mind,Ellie Goulding,2015.0
Antidote,Travis Scott,2015.0
Wildest Dreams,Taylor Swift,2014.0
Watch Me,Silento,2015.0
In The Night,The Weeknd,2015.0
Don't,Bryson Tiller,2014.0
Roses,The Chainsmokers,2015.0
Confident,Demi Lovato,2015.0
Can't Feel My Face,The Weeknd,2015.0
Die A Happy Man,Thomas Rhett,2015.0
Perfect,One Direction,2015.0
Trap Queen,Fetty Wap,2014.0
I Know What You Did Last Summer,"Shawn Mendes, Camila Cabello",2015.0
Break Up In A Small Town,Sam Hunt,2014.0
See You Again,Wiz Khalifa,2015.0
Hide Away,Daya,2015.0
Say It,Tory Lanez,2015.0
My House,Flo Rida,2015.0
"Me, Myself & I",G,2015.0
One Call Away,Charlie Puth,2015.0
Hit The Quan,iLoveMemphis,2015.0
Again,Fetty Wap,2015.0
Focus,Ariana Grande,2015.0
Locked Away,R. City,2015.0
Cake By The Ocean,DNCE,2015.0
Hands To Myself,Selena Gomez,2016.0
No Role Modelz,J. Cole,2014.0
Burning House,Cam,2015.0
Where Ya At,Future,2015.0
Exchange,Bryson Tiller,2015.0
When We Were Young,Adele,2015.0
Down In The DM,Yo Gotti,2016.0
Stand By You,Rachel Platten,2015.0
Do It Like Me,DLOW,2010.0
Back Up,DeJ Loaf,2015.0
Home Alone Tonight,Luke Bryan,2015.0
Adventure Of A Lifetime,Coldplay,2015.0
Irresistible,Fall Out Boy,2015.0
Gonna Know We Were Here,Jason Aldean,2015.0
Big Rings,"Drake, Future",2015.0
I'll Show You,Justin Bieber,2015.0
Back To Sleep,Chris Brown,2016.0
New Americana,Halsey,2015.0
Stay A Little Longer,Brothers Osborne,2015.0
Good To Be Alive,Andy Grammer,2015.0
WTF,Missy Elliott,2015.0
I Got The Boy,Jana Kramer,2015.0
Right Hand,Drake,2015.0
Best Friend,Young Thug,2015.0
Used To Love You,Gwen Stefani,2015.0
The Fix,Nelly,2015.0
Get Ugly,Jason Derulo,2015.0
Come Get Her,Rae Sremmurd,2015.0
Downtown,"Macklemore, Ryan Lewis",2015.0
Dessert,Dawin,2015.0
RGF Island,Fetty Wap,2015.0
Gonna,Blake Shelton,2015.0
Dibs,Kelsea Ballerini,2015.0
Sorry Not Sorry,Bryson Tiller,2015.0
Really Really,Kevin Gates,2015.0
Hollow,Tori Kelly,2015.0
Beautiful Drug,Zac Brown Band,2015.0
Backroad Song,Granger Smith,2015.0
Blase,Ty Dolla $ign,2015.0
Top Of The World,Tim McGraw,2015.0
Watch Out,2 Chainz,2015.0
Smoke Break,Carrie Underwood,2015.0
Lay It All On Me,Rudimental,2015.0
Liquor,Chris Brown,2015.0
Let It Go,James Bay,2014.0
Stick Talk,Future,2015.0
Mr. Misunderstood,Eric Church,2015.0
The Feeling,Justin Bieber,2015.0
Break On Me.,Keith Urban,2015.0
Zero,Chris Brown,2015.0
Jugg,Fetty Wap,2015.0
You Should Be Here,Cole Swindell,2015.0
We Went,Randy Houser,2015.0
Confession,Florida Georgia Line,2014.0
Play No Games,Big Sean,2015.0
Hello,Adele,2015.0
Sorry,Justin Bieber,2015.0
Love Yourself,Justin Bieber,2015.0
Hotline Bling,Drake,2015.0
What Do You Mean?,Justin Bieber,2015.0
Same Old Love,Selena Gomez,2015.0
Here,Alessia Cara,2015.0
Stitches,Shawn Mendes,2015.0
The Hills,The Weeknd,2015.0
Like I'm Gonna Lose You,Meghan Trainor,2015.0
Jumpman,"Drake, Future",2015.0
Stressed Out,twenty one pilots,2015.0
679,Fetty Wap,2015.0
In The Night,The Weeknd,2015.0
Antidote,Travis Scott,2015.0
On My Mind,Ellie Goulding,2015.0
Don't,Bryson Tiller,2014.0
Watch Me,Silento,2015.0
Roses,The Chainsmokers,2015.0
Can't Feel My Face,The Weeknd,2015.0
Wildest Dreams,Taylor Swift,2014.0
Ex's & Oh's,Elle King,2014.0
White Iverson,Post Malone,2015.0
Die A Happy Man,Thomas Rhett,2015.0
Say It,Tory Lanez,2015.0
Confident,Demi Lovato,2015.0
Trap Queen,Fetty Wap,2014.0
Perfect,One Direction,2015.0
Break Up In A Small Town,Sam Hunt,2014.0
I Know What You Did Last Summer,"Shawn Mendes, Camila Cabello",2015.0
Hit The Quan,iLoveMemphis,2015.0
Focus,Ariana Grande,2015.0
"Me, Myself & I",G,2015.0
My House,Flo Rida,2015.0
Hands To Myself,Selena Gomez,2016.0
No Role Modelz,J. Cole,2014.0
See You Again,Wiz Khalifa,2015.0
Hide Away,Daya,2015.0
Cake By The Ocean,DNCE,2015.0
Again,Fetty Wap,2015.0
Where Ya At,Future,2015.0
Locked Away,R. City,2015.0
Do It Like Me,DLOW,2010.0
Burning House,Cam,2015.0
Exchange,Bryson Tiller,2015.0
Down In The DM,Yo Gotti,2016.0
Back To Sleep,Chris Brown,2016.0
When We Were Young,Adele,2015.0
Adventure Of A Lifetime,Coldplay,2015.0
Back Up,DeJ Loaf,2015.0
One Call Away,Charlie Puth,2015.0
WTF,Missy Elliott,2015.0
I'll Show You,Justin Bieber,2015.0
Home Alone Tonight,Luke Bryan,2015.0
Big Rings,"Drake, Future",2015.0
The Fix,Nelly,2015.0
Best Friend,Young Thug,2015.0
Stay A Little Longer,Brothers Osborne,2015.0
Gonna Know We Were Here,Jason Aldean,2015.0
Stand By You,Rachel Platten,2015.0
Used To Love You,Gwen Stefani,2015.0
Irresistible,Fall Out Boy,2015.0
I Got The Boy,Jana Kramer,2015.0
New Americana,Halsey,2015.0
You Should Be Here,Cole Swindell,2015.0
Gonna,Blake Shelton,2015.0
Dessert,Dawin,2015.0
Come Get Her,Rae Sremmurd,2015.0
Liquor,Chris Brown,2015.0
Lay It All On Me,Rudimental,2015.0
Right Hand,Drake,2015.0
Zero,Chris Brown,2015.0
Hallelujah,Lindsey Stirling,2015.0
Downtown,"Macklemore, Ryan Lewis",2015.0
Good To Be Alive,Andy Grammer,2015.0
The Feeling,Justin Bieber,2015.0
Top Of The World,Tim McGraw,2015.0
RGF Island,Fetty Wap,2015.0
Blase,Ty Dolla $ign,2015.0
Backroad Song,Granger Smith,2015.0
Ginza,J Balvin,2015.0
Sorry Not Sorry,Bryson Tiller,2015.0
Little More,Chris Brown,2015.0
Beautiful Drug,Zac Brown Band,2015.0
Play No Games,Big Sean,2015.0
Really Really,Kevin Gates,2015.0
Hollow,Tori Kelly,2015.0
Dibs,Kelsea Ballerini,2015.0
Let It Go,James Bay,2014.0
Stick Talk,Future,2015.0
Get Ugly,Jason Derulo,2015.0
Hello,Adele,2015.0
Sorry,Justin Bieber,2015.0
Hotline Bling,Drake,2015.0
Love Yourself,Justin Bieber,2015.0
What Do You Mean?,Justin Bieber,2015.0
Same Old Love,Selena Gomez,2015.0
The Hills,The Weeknd,2015.0
Here,Alessia Cara,2015.0
Stitches,Shawn Mendes,2015.0
Like I'm Gonna Lose You,Meghan Trainor,2015.0
679,Fetty Wap,2015.0
In The Night,The Weeknd,2015.0
Jumpman,"Drake, Future",2015.0
On My Mind,Ellie Goulding,2015.0
Can't Feel My Face,The Weeknd,2015.0
Antidote,Travis Scott,2015.0
Ex's & Oh's,Elle King,2014.0
Stressed Out,twenty one pilots,2015.0
Don't,Bryson Tiller,2014.0
Die A Happy Man,Thomas Rhett,2015.0
White Iverson,Post Malone,2015.0
Wildest Dreams,Taylor Swift,2014.0
Mary Did You Know,Jordan Smith,2015.0
Roses,The Chainsmokers,2015.0
Watch Me,Silento,2015.0
Say It,Tory Lanez,2015.0
Burning House,Cam,2015.0
Confident,Demi Lovato,2015.0
Trap Queen,Fetty Wap,2014.0
Perfect,One Direction,2015.0
Focus,Ariana Grande,2015.0
Break Up In A Small Town,Sam Hunt,2014.0
Where Ya At,Future,2015.0
No Role Modelz,J. Cole,2014.0
Locked Away,R. City,2015.0
"Me, Myself & I",G,2015.0
Hide Away,Daya,2015.0
See You Again,Wiz Khalifa,2015.0
Good For You,Selena Gomez,2015.0
Adventure Of A Lifetime,Coldplay,2015.0
Again,Fetty Wap,2015.0
I Know What You Did Last Summer,"Shawn Mendes, Camila Cabello",2015.0
Cake By The Ocean,DNCE,2015.0
Exchange,Bryson Tiller,2015.0
Drag Me Down,One Direction,2015.0
My House,Flo Rida,2015.0
Hit The Quan,iLoveMemphis,2015.0
Back Up,DeJ Loaf,2015.0
WTF,Missy Elliott,2015.0
When We Were Young,Adele,2015.0
Down In The DM,Yo Gotti,2016.0
Stay A Little Longer,Brothers Osborne,2015.0
I'll Show You,Justin Bieber,2015.0
One Call Away,Charlie Puth,2015.0
Home Alone Tonight,Luke Bryan,2015.0
Hands To Myself,Selena Gomez,2016.0
Gonna,Blake Shelton,2015.0
Back To Sleep,Chris Brown,2016.0
The Fix,Nelly,2015.0
Gonna Know We Were Here,Jason Aldean,2015.0
Used To Love You,Gwen Stefani,2015.0
Do It Like Me,DLOW,2010.0
You Should Be Here,Cole Swindell,2015.0
Big Rings,"Drake, Future",2015.0
I Got The Boy,Jana Kramer,2015.0
Climb Every Mountain,Jordan Smith,2015.0
Back To Back,Drake,2015.0
Lay It All On Me,Rudimental,2015.0
Top Of The World,Tim McGraw,2015.0
Stand By You,Rachel Platten,2015.0
Best Friend,Young Thug,2015.0
Irresistible,Fall Out Boy,2015.0
New Americana,Halsey,2015.0
The Feeling,Justin Bieber,2015.0
Blase,Ty Dolla $ign,2015.0
Come Get Her,Rae Sremmurd,2015.0
Nothin' Like You,Dan + Shay,2015.0
Good To Be Alive,Andy Grammer,2015.0
Dibs,Kelsea Ballerini,2015.0
Strip It Down,Luke Bryan,2015.0
Downtown,"Macklemore, Ryan Lewis",2015.0
Backroad Song,Granger Smith,2015.0
Dessert,Dawin,2015.0
Play No Games,Big Sean,2015.0
Right Hand,Drake,2015.0
Sorry Not Sorry,Bryson Tiller,2015.0
Beautiful Drug,Zac Brown Band,2015.0
Smoke Break,Carrie Underwood,2015.0
Hollow,Tori Kelly,2015.0
Somebody To Love,Jordan Smith,2015.0
Hello,Adele,2015.0
Sorry,Justin Bieber,2015.0
Hotline Bling,Drake,2015.0
What Do You Mean?,Justin Bieber,2015.0
Love Yourself,Justin Bieber,2015.0
The Hills,The Weeknd,2015.0
Stitches,Shawn Mendes,2015.0
Here,Alessia Cara,2015.0
Same Old Love,Selena Gomez,2015.0
Like I'm Gonna Lose You,Meghan Trainor,2015.0
679,Fetty Wap,2015.0
Ex's & Oh's,Elle King,2014.0
On My Mind,Ellie Goulding,2015.0
Jumpman,"Drake, Future",2015.0
Can't Feel My Face,The Weeknd,2015.0
Antidote,Travis Scott,2015.0
Wildest Dreams,Taylor Swift,2014.0
In The Night,The Weeknd,2015.0
Don't,Bryson Tiller,2014.0
Somebody To Love,Jordan Smith,2015.0
White Iverson,Post Malone,2015.0
Focus,Ariana Grande,2015.0
Die A Happy Man,Thomas Rhett,2015.0
Watch Me,Silento,2015.0
Trap Queen,Fetty Wap,2014.0
Stressed Out,twenty one pilots,2015.0
Roses,The Chainsmokers,2015.0
Say It,Tory Lanez,2015.0
Confident,Demi Lovato,2015.0
Perfect,One Direction,2015.0
Locked Away,R. City,2015.0
Break Up In A Small Town,Sam Hunt,2014.0
Where Ya At,Future,2015.0
"Me, Myself & I",G,2015.0
No Role Modelz,J. Cole,2014.0
Adventure Of A Lifetime,Coldplay,2015.0
Good For You,Selena Gomez,2015.0
See You Again,Wiz Khalifa,2015.0
Again,Fetty Wap,2015.0
Hit The Quan,iLoveMemphis,2015.0
Drag Me Down,One Direction,2015.0
Burning House,Cam,2015.0
Hide Away,Daya,2015.0
Back Up,DeJ Loaf,2015.0
Renegades,X Ambassadors,2015.0
I'll Show You,Justin Bieber,2015.0
I Know What You Did Last Summer,"Shawn Mendes, Camila Cabello",2015.0
Exchange,Bryson Tiller,2015.0
Gonna,Blake Shelton,2015.0
My House,Flo Rida,2015.0
Used To Love You,Gwen Stefani,2015.0
WTF,Missy Elliott,2015.0
Lay It All On Me,Rudimental,2015.0
Stay A Little Longer,Brothers Osborne,2015.0
Do It Like Me,DLOW,2010.0
Stand By You,Rachel Platten,2015.0
The Fix,Nelly,2015.0
Cake By The Ocean,DNCE,2015.0
Big Rings,"Drake, Future",2015.0
Gonna Know We Were Here,Jason Aldean,2015.0
Back To Back,Drake,2015.0
Home Alone Tonight,Luke Bryan,2015.0
Down In The DM,Yo Gotti,2016.0
Nothin' Like You,Dan + Shay,2015.0
The Feeling,Justin Bieber,2015.0
I Got The Boy,Jana Kramer,2015.0
Best Friend,Young Thug,2015.0
Top Of The World,Tim McGraw,2015.0
One Call Away,Charlie Puth,2015.0
Downtown,"Macklemore, Ryan Lewis",2015.0
